feature,success_mean,failure_mean,success_std,failure_std,cohens_d,abs_cohens_d,effect_size,direction,p_value,significant
tool_errors_occurred,0.0,0.6882352941176471,0.0,0.46458272037646664,-1.6355512058470796,1.6355512058470796,large,higher in failure,7.13908964896477e-17,True
no_changes_made,0.0,0.5941176470588235,0.0,0.49251268356634315,-1.3318192596949703,1.3318192596949703,large,higher in failure,2.9789783648218343e-12,True
used_str_replace,1.0,0.47058823529411764,0.0,0.5006087488122835,1.167576675905119,1.167576675905119,large,higher in success,5.724127407132888e-10,True
submitted,0.9473684210526315,0.43529411764705883,0.22629428592141423,0.49726015772655124,1.1120146358695586,1.1120146358695586,large,higher in success,3.0812261691032455e-09,True
trajectory_efficiency,0.9323136972925143,0.44482219757654656,0.6418124909920301,0.4806009898204226,0.9497196710733328,0.9497196710733328,large,higher in success,3.0748287794956793e-07,True
correct_files_touched,0.6842105263157895,0.2647058823529412,0.4710691208760756,0.4424798012580984,0.9369186167386513,0.9369186167386513,large,higher in success,4.3277695186793157e-07,True
exploration_efficiency,0.7867167919799499,0.45124649859943977,0.3005564855578611,0.41035678150773,0.8538255287612974,0.8538255287612974,large,higher in success,3.669880856626013e-06,True
recovery_rate,0.9418859649122806,0.6449954783778313,0.12003638778423413,0.44829143017371986,0.7255109842875187,0.7255109842875187,medium,higher in success,7.447724068475031e-05,True
followed_read_before_write,1.0,0.7058823529411765,0.0,0.456991173681542,0.7105645366779245,0.7105645366779245,medium,higher in success,0.00010324066356120659,True
read_relevant_files,0.9473684210526315,0.6529411764705882,0.22629428592141423,0.4774409682632216,0.6646955397232562,0.6646955397232562,medium,higher in success,0.0002722602645842036,True
similarity_score,0.07298259519383266,0.027758987604247064,0.08123433198782766,0.07574705066817057,0.5891441235326528,0.5891441235326528,medium,higher in success,0.001205501247746969,True
patch_similarity,0.07298259519383266,0.027758987604247064,0.08123433198782766,0.07574705066817057,0.5891441235326528,0.5891441235326528,medium,higher in success,0.001205501247746969,True
relevant_file_discovery_step,2.5,1.2882352941176471,2.816457425993234,2.2490977422887286,0.5132273197941609,0.5132273197941609,medium,higher in success,0.004669931872406833,True
progress_volatility,0.010666954890477129,0.003709665652040681,0.02456194682293397,0.010156686781314693,0.5008126860464828,0.5008126860464828,medium,higher in success,0.005748376661468345,True
edit_to_explore_ratio,0.47600127517777757,0.2249508140233873,0.6717138604749842,0.4577417103155335,0.49917969758036923,0.49917969758036923,small,higher in success,0.005905940213144961,True
wrong_files_modified,0.0,0.16470588235294117,0.0,0.37201065148361573,-0.4888144018641019,0.4888144018641019,small,higher in failure,0.007000854703798049,True
max_progress,0.060828630179223235,0.02864496437653018,0.08592903345581096,0.06484427833585751,0.46570815848576863,0.46570815848576863,small,higher in success,0.010128758261315905,True
phase_transitions,3.1315789473684212,2.164705882352941,1.596805131734614,2.193843234562355,0.46060075570360337,0.46060075570360337,small,higher in success,0.010970303489651523,True
final_similarity,0.05503879044616596,0.0258901966264647,0.07860533284747762,0.0616720249468075,0.44817050358297045,0.44817050358297045,small,higher in success,0.013285430546825447,True
line_level_similarity,0.043054712714885854,0.015544456192791338,0.09515221681686595,0.05123531953396854,0.4474685101912545,0.4474685101912545,small,higher in success,0.013428297248914634,True
monotonic_progress,0.7368421052631579,0.5529411764705883,0.44625834999021435,0.49865813675074044,0.37556874640849175,0.37556874640849175,small,higher in success,0.0375712927068251,True
hit_max_steps,0.07894736842105263,0.21176470588235294,0.2732763127330939,0.40976592097142234,-0.3416108583646875,0.3416108583646875,small,higher in failure,0.05833296598739241,False
ran_tests,0.5263157894736842,0.38235294117647056,0.506009406240056,0.487397744235622,0.29332724896616036,0.29332724896616036,small,higher in success,0.1036399719316938,False
verifies_after_change,0.0,0.06470588235294118,0.0,0.24673291616210413,-0.2895389065296349,0.2895389065296349,small,higher in failure,0.10814851047212937,False
exploration_pct,0.5970187562333562,0.49926246226823057,0.17651324627605997,0.3719041478754307,0.28330246489988853,0.28330246489988853,small,higher in success,0.11590970557999546,False
implementation_pct,0.40298124376664385,0.5007375377317694,0.17651324627605997,0.3719041478754307,-0.28330246489988836,0.28330246489988836,small,higher in failure,0.11590970557999566,False
wasted_explorations,0.631578947368421,1.0823529411764705,1.024590956789097,1.7723168049036722,-0.2710650239725479,0.2710650239725479,small,higher in failure,0.13241516535630754,False
steps_per_file,4.97844611528822,3.9972619047619045,3.166340203770125,4.126991195520765,0.24704988606459596,0.24704988606459596,small,higher in success,0.1700700985748143,False
mentions_relevant_files,0.18421052631578946,0.10588235294117647,0.3928594520631916,0.3085959581187219,0.2407559944477295,0.2407559944477295,small,higher in success,0.18116410843798797,False
implementation_steps,2.0,1.3588235294117648,1.88880056320607,2.8669838229162035,0.23595578204189596,0.23595578204189596,small,higher in success,0.18998255253693394,False
max_repetition,0.6842105263157895,1.0176470588235293,1.1414846462936064,1.4934711143406814,-0.23209822830738933,0.23209822830738933,small,higher in failure,0.197297003150066,False
tool_errors_count,0.3684210526315789,0.6941176470588235,1.2394648503368233,2.1893963363078455,-0.15876444626849787,0.15876444626849787,negligible,higher in failure,0.37730404705050913,False
patch_too_large,0.0,0.01764705882352941,0.0,0.13205384466461617,-0.14754059864790975,0.14754059864790975,negligible,higher in failure,0.4118936679523335,False
model_got_stuck,0.0,0.01764705882352941,0.0,0.13205384466461617,-0.14754059864790975,0.14754059864790975,negligible,higher in failure,0.4118936679523335,False
